,,,,,,,,,,,,,,環状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大阪,,塚本,大阪方面 塚本,,大津京,,塚口,,東西線経由 塚口,大阪城北詰,東西線経由 大阪城北詰,西木津,東西線経由 西木津,,安治川口,JR難波,南吹田,美章園,りんくうタウン,醒ヶ井,米原方面 醒ヶ井,湯河原,坂田,米原方面 坂田,近江中庄,西敦賀,中津幡,田鶴浜,稲荷町,長森,鶴舞,広丘,北松本,三石,姫路方面 三石,日岡,京口,播磨高岡,西相生,姫路方面 西相生,大元,植松,清音,梅小路京都西,船岡,西出雲,広野,宝塚方面 広野,東西線経由 広野,淵垣,津ノ井,四所,苔縄,笠置,油日,東福寺,京終,畠田,紫香楽宮跡,和歌山市,,高松,昭和町,金蔵寺,門司港,肥後高田,新鳥栖,西小倉,南宮崎,新潟,秋田,油川,,越後湯沢,函館,七重浜,平和,静狩
新大阪,大阪方面 新大阪,尼崎,大阪方面 尼崎,東西線経由 尼崎,唐崎,,猪名寺,,東西線経由 猪名寺,大阪天満宮,東西線経由 大阪天満宮,祝園,東西線経由 祝園,福島,ユニバーサルシティ,,JR淡路,南田辺,関西空港,近江長岡,米原方面 近江長岡,真鶴,田村,米原方面 田村,マキノ,粟野,本津幡,笠師保,新庄田中,那加,千種,村井,島内,吉永,姫路方面 吉永,神野,野里,余部,坂越,姫路方面 坂越,備前西市,木見,総社,丹波口,日吉,出雲神西,相野,宝塚方面 相野,東西線経由 相野,梅迫,東郡家,東雲,河野原円心,大河原,甲賀,稲荷,帯解,志都美,雲井,紀和,,香西,栗林公園北口,善通寺,小森江,日奈久温泉,肥前麓,南小倉,加納,越後石山,泉外旭川,津軽宮田,京ヶ瀬,六日町,五稜郭,東久根別,新札幌,小幌
東淀川,大阪方面 東淀川,立花,大阪方面 立花,東西線経由 立花,比叡山坂本,,伊丹,,東西線経由 伊丹,北新地,東西線経由 北新地,下狛,東西線経由 下狛,野田,桜島,,城北公園通,鶴ヶ丘,,柏原,米原方面 柏原,根府川,長浜,米原方面 長浜,永原,東美浜,能瀬,能登中島,東新庄,蘇原,大曽根,平田,島高松,和気,姫路方面 和気,厄神,砥堀,太市,播州赤穂,姫路方面 播州赤穂,妹尾,上の町,豪渓,二条,鍼灸大学前,江南,藍本,宝塚方面 藍本,東西線経由 藍本,真倉,郡家,丹後神崎,久崎,月ヶ瀬口,寺庄,JR藤森,櫟本,香芝,勅旨,,,鬼無,栗林,琴平,,肥後二見,中原,城野,清武,亀田,土崎,奥内,水原,魚沼丘陵,桔梗,久根別,上野幌,礼文
吹田,大阪方面 吹田,甲子園口,大阪方面 甲子園口,東西線経由 甲子園口,おごと温泉,,北伊丹,,東西線経由 北伊丹,新福島,東西線経由 新福島,JR三山木,東西線経由 JR三山木,西九条,,,JR野江,長居,,関ヶ原,米原方面 関ヶ原,早川,虎姫,米原方面 虎姫,,美浜,宇野気,西岸,越中荏原,各務ケ原,新守山,南松本,梓橋,熊山,姫路方面 熊山,市場,仁豊野,本竜野,天和,姫路方面 天和,備中箕島,児島,日羽,円町,胡麻,小田,草野,宝塚方面 草野,東西線経由 草野,西舞鶴,河原,丹後由良,,島ヶ原,甲南,桃山,天理,JR五位堂,玉桂寺前,宮前,和歌山方面 宮前,端岡,木太町,塩入,小倉,上田浦,吉野ヶ里公園,安部山公園,日向沓掛,荻川,上飯島,左堰,神山,美佐島,大中山,清川口,北広島,大岸
岸辺,大阪方面 岸辺,西宮,大阪方面 西宮,東西線経由 西宮,堅田,,川西池田,,東西線経由 川西池田,海老江,東西線経由 海老江,同志社前,東西線経由 同志社前,弁天町,,東部市場前,高井田中央,我孫子町,,垂井,米原方面 垂井,小田原,河毛,米原方面 河毛,,気山,横山,能登鹿島,越中三郷,鵜沼,勝川,松本,一日市場,万富,姫路方面 万富,小野町,香呂,東觜崎,備前福河,姫路方面 備前福河,早島,,美袋,花園,下山,田儀,古市,宝塚方面 古市,東西線経由 古市,東舞鶴,国英,栗田,平福,伊賀上野,貴生川,六地蔵,長柄,高田,信楽,紀三井寺,和歌山方面 紀三井寺,国分,屋島,黒川,西小倉,たのうら御立岬公園,神埼,下曽根,田野,さつき野,追分,後潟,月岡,しんざ,七飯,上磯,島松,豊浦
千里丘,大阪方面 千里丘,さくら夙川,大阪方面 さくら夙川,東西線経由 さくら夙川,小野,,中山寺,,東西線経由 中山寺,御幣島,東西線経由 御幣島,京田辺,東西線経由 京田辺,大正,,平野,JR河内永和,杉本町,,大垣,米原方面 大垣,鴨宮,高月,米原方面 高月,,三方,高松,穴水,越中舟橋,坂祝,春日井,田沢,中萱,瀬戸,姫路方面 瀬戸,粟生,溝口,播磨新宮,寒河,姫路方面 寒河,久々原,,備中広瀬,太秦,和知,波根,南矢代,宝塚方面 南矢代,東西線経由 南矢代,,鷹狩,宮津,石井,佐那具,三雲,木幡,柳本,大和新庄,,黒江,和歌山方面 黒江,讃岐府中,古高松南,讃岐財田,九州工大前,肥後田浦,伊賀屋,朽網,青井岳,新津,大久保,中沢,中浦,十日町,新函館北斗,茂辺地,恵み野,洞爺
茨木,大阪方面 茨木,芦屋,大阪方面 芦屋,東西線経由 芦屋,和邇,,宝塚,,東西線経由 宝塚,加島,東西線経由 加島,大住,東西線経由 大住,芦原橋,,加美,JR俊徳道,浅香,,穂積,米原方面 穂積,国府津,木ノ本,米原方面 木ノ本,,藤井,免田,能登三井,寺田,美濃太田,神領,明科,南豊科,上道,姫路方面 上道,河合西,福崎,千本,日生,姫路方面 日生,茶屋町,,備中高梁,嵯峨嵐山,安栖里,久手,篠山口,宝塚方面 篠山口,東西線経由 篠山口,,用瀬,天橋立,宮本武蔵,新堂,甲西,黄檗,巻向,御所,,海南,和歌山方面 海南,鴨川,八栗口,坪尻,戸畑,海浦,佐賀,苅田,山之口,古津,羽後飯塚,蓬田,新発田,まつだい,仁山,渡島当別,恵庭,有珠
JR総持寺,大阪方面 JR総持寺,甲南山手,大阪方面 甲南山手,東西線経由 甲南山手,蓬莱,,生瀬,宝塚方面 生瀬,東西線経由 生瀬,,,松井山手,東西線経由 松井山手,今宮,,久宝寺,JR長瀬,堺市,,西岐阜,米原方面 西岐阜,二宮,余呉,米原方面 余呉,,十村,宝達,能登市ノ瀬,越中泉,古井,高蔵寺,西条,豊科,東岡山,姫路方面 東岡山,青野ヶ原,甘地,西栗栖,伊里,姫路方面 伊里,彦崎,,木野山,保津峡,立木,大田市,丹波大山,,,,因幡社,岩滝口,大原,柘植,石部,宇治,三輪,玉手,,冷水浦,和歌山方面 冷水浦,八十場,讃岐牟礼,箸蔵,枝光,佐敷,鍋島,小波瀬西工大前,餅原,矢代田,井川さくら,郷沢,加治,ほくほく大島,大沼,釜谷,サッポロビール庭園,長和
摂津富田,大阪方面 摂津富田,摂津本山,大阪方面 摂津本山,東西線経由 摂津本山,志賀,,西宮名塩,宝塚方面 西宮名塩,東西線経由 西宮名塩,,,長尾,東西線経由 長尾,新今宮,,八尾,衣摺加美北,三国ヶ丘,,岐阜,米原方面 岐阜,大磯,近江塩津,米原方面 近江塩津,,大鳥羽,敷浪,輪島,相ノ木,中川辺,定光寺,坂北,柏矢町,高島,姫路方面 高島,社町,鶴居,三日月,備前片上,姫路方面 備前片上,備前片岡,,備中川面,馬堀,山家,静間,下滝,,,,智頭,与謝野,西粟倉,加太,手原,JR小倉,桜井,掖上,,加茂郷,和歌山方面 加茂郷,坂出,志度,佃,スペースワールド,湯浦,久保田,行橋,三股,田上,八郎潟,瀬辺地,金塚,虫川大杉,鹿部,泉沢,長都,伊達紋別
